Weight	Action	Count	Q Value
0	-1	0	-125
0	1	14	-120.76982648928605
1	-1	0	-125
1	1	28	-117.05362467973679
2	-1	0	-125
2	1	21	-118.78013461189107
3	-1	0	-125
3	1	21	-118.73535005863145
4	-1	0	-125
4	1	7	-122.74839551986265
5	-1	0	-125
5	1	14	-120.63739620373799
6	-1	0	-125
6	1	14	-120.61544246697832
7	-1	0	-125
7	1	14	-120.59304298043642
8	-1	0	-125
8	1	14	-120.57018869358623
9	-1	0	-125
9	1	7	-122.69602041633163
10	-1	0	-125
10	1	14	-120.5350342615626
11	-1	0	-125
11	1	14	-120.51100216274871
12	-1	0	-125
12	1	7	-122.66480970418839
13	-1	0	-125
13	1	14	-120.47403602201221
14	-1	0	-125
14	1	14	-120.44876541185559
15	-1	0	-125
15	1	14	-120.42298170595146
16	-1	0	-125
16	1	14	-120.39667448637783
17	-1	0	-125
17	1	14	-120.3698331236866
18	-1	0	-125
18	1	14	-120.34244677260898
19	-1	0	-125
19	1	7	-122.5759257353629
20	-1	0	-125
20	1	14	-120.30032112573821
21	-1	0	-125
21	1	14	-120.27152339953642
22	-1	0	-125
22	1	14	-120.24214096284445
23	-1	0	-125
23	1	14	-120.21216194367095
24	-1	0	-125
24	1	14	-120.18157422897497
25	-1	0	-125
25	1	14	-120.15036545977189
26	-1	0	-125
26	1	7	-122.4746358898824
27	-1	0	-125
27	1	14	-120.10236017469417
28	-1	0	-125
28	1	14	-120.06954303932416
29	-1	0	-125
29	1	14	-120.03605958317682
30	-1	0	-125
30	1	14	-120.00189627724134
31	-1	0	-125
31	1	14	-119.96703931781326
32	-1	0	-125
32	1	14	-119.93147462091697
33	-1	0	-125
33	1	7	-122.35920863192985
34	-1	0	-125
34	1	14	-119.8767690539624
35	-1	0	-125
35	1	14	-119.83937150506057
36	-1	0	-125
36	1	14	-119.8012146344332
37	-1	0	-125
37	1	7	-122.29051889991817
38	-1	0	-125
38	1	14	-119.74252178947614
39	-1	0	-125
39	1	14	-119.70239847732232
40	-1	0	-125
40	1	7	-122.23841037807968
41	-1	0	-125
41	1	14	-119.64068085476333
42	-1	0	-125
42	1	14	-119.59848975911721
43	-1	0	-125
43	1	14	-119.5554420133299
44	-1	0	-125
44	1	7	-122.16091612676344
45	-1	0	-125
45	1	14	-119.4892260310519
46	-1	0	-125
46	1	14	-119.44395978900043
47	-1	0	-125
47	1	14	-119.39777445887957
48	-1	0	-125
48	1	7	-122.07777361804311
49	-1	0	-125
49	1	14	-119.32673224877412
50	-1	0	-125
50	1	14	-119.27816672474395
51	-1	7	-121.75115800704255
51	1	14	-119.22861512385613
52	-1	0	-125
52	1	0	-125
53	-1	0	-125
53	1	0	-125
54	-1	0	-125
54	1	0	-125
55	-1	0	-125
55	1	0	-125
56	-1	0	-125
56	1	0	-125
57	-1	0	-125
57	1	0	-125
58	-1	0	-125
58	1	0	-125
59	-1	0	-125
59	1	0	-125
60	-1	0	-125
60	1	0	-125
61	-1	0	-125
61	1	0	-125
62	-1	0	-125
62	1	0	-125
63	-1	0	-125
63	1	0	-125
64	-1	0	-125
64	1	0	-125
65	-1	0	-125
65	1	0	-125
66	-1	0	-125
66	1	0	-125
67	-1	0	-125
67	1	0	-125
68	-1	0	-125
68	1	0	-125
69	-1	0	-125
69	1	0	-125
70	-1	0	-125
70	1	0	-125
71	-1	0	-125
71	1	0	-125
72	-1	0	-125
72	1	0	-125
73	-1	0	-125
73	1	0	-125
74	-1	0	-125
74	1	0	-125
75	-1	0	-125
75	1	0	-125
76	-1	0	-125
76	1	0	-125
77	-1	0	-125
77	1	0	-125
