Weight	Best Action	Count	Q Value
0	1	232	-99.92324056207097
1	1	739	-93.07248523710506
2	1	689	-92.8406458923253
3	1	617	-94.75670797041369
4	1	554	-94.12931827860544
5	1	561	-95.42238909750053
6	1	544	-94.35751369011854
7	1	573	-94.19638630974892
8	1	563	-94.26724048260728
9	1	580	-94.36196227663629
10	1	589	-93.19460688130752
11	1	605	-93.87391202745246
12	1	613	-92.79367497127784
13	1	613	-93.15667701565594
14	1	611	-92.34606901081358
15	1	606	-92.55958834105004
16	1	616	-92.7167886231994
17	1	601	-92.02951061932258
18	1	624	-92.35411973671351
19	1	596	-92.23651845366675
20	1	602	-90.42278421409128
21	1	595	-92.44090105254607
22	1	603	-90.46593481151005
23	1	614	-91.26593330949524
24	1	591	-90.46207186665454
25	1	610	-89.1174832400538
26	1	573	-90.99681393493408
27	1	607	-90.3563511779634
28	1	595	-89.96876151487821
29	1	601	-87.81754543486866
30	1	588	-90.53384050951554
31	1	581	-88.73831900923177
32	1	607	-88.44317946641132
33	1	580	-88.87519693544986
34	1	595	-88.5140436109131
35	1	587	-87.5542303822323
36	1	589	-87.20447693969373
37	1	585	-87.46347412728755
38	1	604	-85.11457900048413
39	1	587	-87.70406522319854
40	1	576	-86.08533315165417
41	1	603	-83.66435177508625
42	1	560	-87.56468062024739
43	1	606	-83.36987417899992
44	1	584	-84.06924289459609
45	1	582	-87.11309051272703
46	1	573	-84.11091789091509
47	1	566	-84.07373524261997
48	1	589	-82.01229893502395
49	1	569	-84.88648173075464
50	1	566	-80.85170176521329
51	1	527	-83.86700778775655
52	1	485	-84.27245836746188
53	1	443	-87.59358751260683
54	-1	207	-88.46492246238464
55	-1	219	-85.3544076402752
56	-1	246	-81.98873686882675
57	-1	324	-75.4344762712536
58	-1	367	-75.33567023001078
59	-1	425	-73.14805889607031
60	-1	440	-73.27854408821348
61	-1	476	-73.50180414406032
62	-1	479	-72.22453398878665
63	-1	540	-72.8102856715163
64	-1	576	-75.59950134594037
65	-1	660	-74.60707168739914
66	-1	863	-80.3435827895037
67	-1	1360	-92.29733578065482
68	-1	1304	-89.31584930240959
69	-1	1542	-80.59743257044146
70	-1	1735	-64.21455195758794
71	-1	1851	-51.69011942046263
72	-1	1953	-38.35791453588077
73	-1	1833	-21.631304881804056
74	-1	778	-17.06888716670759
75	-1	61	-71.42447672645064
76	1	0	-125.0
