Iteration	Q Value	Difference	G Value
1	-124.70046374336233	0.2995362566376656	-95.04637433623368
2	-124.40342248306239	0.2970412602999488	-94.99633771336735
3	-124.10884621493244	0.2945762681299442	-94.94579567006804
4	-123.62041906688926	0.4884271480431863	-75.26613141061313
5	-123.13437781976191	0.4860412471273463	-75.01629435415467
6	-122.65067337847495	0.4837044412869602	-74.76393369106532
7	-122.1692568839939	0.48141649448105284	-74.50902393036901
8	-121.60639825363991	0.5628586303539862	-65.8833938485957
9	-120.99365646468148	0.6127417889584308	-60.33221935779744
10	-120.38303524708313	0.6106212175983501	-59.9315347048459
11	-119.77447292193398	0.6085623251491512	-59.526802732167575
12	-119.16790801829208	0.6065649036418961	-59.11798255774502
13	-118.63847453721026	0.5294334810818242	-66.22455991010975
14	-118.11092373032412	0.5275508068861399	-65.8833938485957
15	-118.29955446435937	-0.18863073403525732	-136.9739971338505
16	-118.49003363823952	-0.19047917388014923	-137.34747185237424
17	-118.1206395108986	0.36939412734092514	-81.5506209041477
18	-117.75307575118505	0.3675637597135477	-81.36426353954315
19	-117.38730523144636	0.3657705197386889	-81.17602377731632
20	-116.87560212705606	0.5117031043903069	-66.21699479241516
21	-116.3656036289412	0.5099984981148538	-65.87575231557086
22	-115.89954315698277	0.4660604719584285	-69.7595564330978
23	-115.43508869948464	0.4644544574981353	-69.4540974071695
24	-114.97219334185515	0.46289535762949185	-69.14555293653484
25	-114.1989460135454	0.7732473283097505	-37.64746051087998
26	-113.42713292220671	0.7718130913386858	-37.01763687967675
27	-112.68174435345178	0.7453885687549331	-38.88827604671346
28	-111.93763676897497	0.7441075844768079	-38.27098590577117
29	-111.19473500639401	0.7429017625809564	-37.64746051087998
30	-112.58460356593658	-1.3898685595425633	-250.1815909606508
31	-113.9757432975565	-1.3911397316199299	-251.69857672793015
32	-113.55967232125927	0.41607097629723455	-72.36864566783296
33	-113.14497100883287	0.41470131242640207	-72.08954107861916
34	-115.1585428095049	-2.0135718006720253	-314.5021510760356
35	-117.17364577611727	-2.0151029666123748	-316.668839470743
36	-119.19048345442421	-2.016837678306942	-318.8574136068112
37	-118.62663211484438	0.563851339579827	-62.80534949644095
38	-118.06466225325595	0.5619698615884374	-62.42964595600096
39	-117.29104918432189	0.7736130689340541	-40.70335535985002
40	-116.51918268601251	0.7718664983093788	-40.10439935338386
41	-115.96520694107816	0.5539757449343483	-61.12160819257727
42	-115.41284384330957	0.5523630977685912	-60.72889716421947
43	-114.86203759845445	0.5508062448551243	-60.33221935779744
44	-114.71971545878193	0.1423221396725154	-100.62982363120321
45	-114.57888015905475	0.14083529972718623	-100.63618548606385
46	-115.27607322667147	-0.6971930676167233	-184.29818692072737
47	-115.97480933198786	-0.6987361053163852	-185.14968375831046
48	-116.67515905440848	-0.7003497224206257	-186.009781574051
49	-116.85302927888515	-0.17787022447666345	-134.4621815020744
50	-117.0326018295516	-0.17957255066644962	-134.81028434552968
51	-116.49032930622049	0.542272523331107	-62.80534949644095
52	-115.94972247271829	0.5406068335021956	-62.42964595600096
53	-115.41072672229414	0.5389957504241494	-62.050147430304
54	-114.90643920394112	0.5042875183530242	-64.98197488699124
55	-114.40365738651778	0.5027818174233403	-64.62825746160732
56	-113.67845439853448	0.7252029879832946	-41.883358588189004
57	-112.95463307261166	0.7238213259228274	-41.29632180625152
58	-112.28881851667836	0.6658145559332951	-46.37317747928145
59	-111.62424525554472	0.6645732611336399	-45.8314924033146
60	-110.9608461605985	0.6633990949462145	-45.28433576092384
61	-111.20285673278575	-0.2420105721872403	-135.16190337932292
62	-111.44599890666318	-0.24314217387743042	-135.5170741205282
63	-111.99375473037644	-0.5477558237132598	-166.22158127798846
64	-112.5427220444665	-0.5489673140900635	-166.89048613938232
65	-113.07288847867392	-0.5301664342074162	-165.5593654652086
66	-112.61105235984763	0.46183611882628384	-66.8892765960461
67	-112.15049008469407	0.4605622751535634	-66.55482484449101
68	-111.69115513177128	0.4593349529227879	-66.21699479241516
69	-112.50635169327643	-0.8151965615051466	-193.21081128228545
70	-113.32281152262938	-0.8164598293529508	-194.15233462857117
71	-113.52734724830492	-0.2045357256755409	-133.77638409018314
72	-113.73324937269241	-0.20590212438749234	-134.11755968705367
73	-113.3139930514768	0.41925632121561307	-71.80761725113047
74	-112.89608157804416	0.417911473432639	-71.52284570821259
75	-112.47947273911436	0.41660883892980394	-71.23519768506323
76	-111.83433748907291	0.6451352500414487	-47.96594773496932
77	-111.19039762665662	0.6439398624162891	-47.44035124744376
78	-110.54758810743493	0.6428095192216858	-46.90944570448864
79	-110.07388518637535	0.47370292105958356	-63.17729600147654
80	-109.601199829476	0.47268535689934765	-62.80534949644095
81	-109.12948429074125	0.471715538734756	-62.42964595600096
82	-110.01833441667011	-0.8888501259288688	-198.0144968836287
83	-110.90819649557037	-0.8898620789002507	-199.00454230669567
84	-111.79916041250047	-0.8909639169301045	-200.0045881885815
85	-111.36943792020416	0.42972249229630677	-68.8269111828703
86	-110.94086385598061	0.4285740642235538	-68.51203149784878
87	-110.40759471119105	0.533269144789557	-57.61394937702503
88	-109.87537683859455	0.5322178725965045	-57.18580745154044
89	-109.20126832023168	0.6741085183628712	-42.46452500230711
90	-108.52808922291125	0.6731790973204284	-41.883358588189004
91	-107.84984188428064	0.6782473386306123	-40.70335535985002
92	-107.17238745897167	0.6774544253089658	-40.10439935338386
93	-106.71733174024361	0.4550557187280617	-61.666815586165654
94	-106.26295453987315	0.4543772003704589	-61.27961170319763
95	-105.80920996117338	0.45374457869976936	-60.8884966698966
96	-109.36380016692517	-3.5545902057517935	-461.26823053635314
97	-112.91933621107768	-3.555536044152504	-464.91740458217487
98	-116.47617723868584	-3.556841027608158	-468.6034389718938
99	-117.55216864959297	-1.075991410907136	-224.07531832939983
100	-118.62993300682835	-1.077764357235381	-225.32860437313116
101	-117.99792921720834	0.6320037896200148	-55.42955404482727
102	-117.36774340023653	0.6301858169718031	-54.979347520027545
103	-117.531829807136	-0.16408640689947163	-133.77638409018314
104	-117.99905884998915	-0.46722904285314826	-164.25473409245095
105	-118.46810597959482	-0.46904712960566997	-164.9037718105565
106	-118.65316489113738	-0.18505891154255494	-136.9739971338505
107	-118.84010796074975	-0.18694306961236862	-137.34747185237424
108	-118.65763654560627	0.18247141514348186	-100.59296644640146
109	-118.47704974021487	0.1805868053913997	-100.59895600646612
110	-117.63662002223857	0.8404297179762921	-34.43407794258561
111	-116.7979717810322	0.8386482412063714	-33.77179590160163
112	-115.9610203046522	0.8369514763800083	-33.102824143031945
113	-116.1007988603938	-0.13977855574160003	-129.93887587881167
114	-116.24220375945463	-0.14140489906083076	-130.24128876647643
115	-117.38447800488056	-1.1422742454259378	-230.46962830204882
116	-118.52850825818578	-1.1440302533052176	-231.78750333540285
117	-119.67441007798173	-1.1459018197959523	-233.11869023778067
118	-122.02876977631804	-2.35435969833631	-355.1103799116122
119	-124.38535460291459	-2.3565848265965457	-357.6872524359719
120	-123.77695628730007	0.6083983156145223	-63.54552304146178
121	-123.17095968444183	0.6059966028582409	-63.17729600147654
122	-122.56730358256182	0.6036561018800057	-62.80534949644095
123	-123.87393940257388	-1.3066358200120618	-253.2308855837678
124	-123.40233554560014	0.4716038569737435	-76.71355370519933
125	-124.1583576132111	-0.7560220676109566	-199.00454230669567
126	-124.9168199189648	-0.7584623057537101	-200.0045881885815
127	-124.09229696979823	0.8245229491665782	-42.46452500230711
128	-123.27020758598213	0.8220893838160919	-41.883358588189004
129	-122.45046872818483	0.8197388577973044	-41.29632180625152
130	-121.63299759450149	0.8174711336833411	-40.70335535985002
131	-120.89632709590617	0.7366704985953163	-47.96594773496932
132	-120.16176733742155	0.7345597584846217	-47.44035124744376
133	-119.68110757546228	0.4806597619592736	-72.09579114149405
134	-119.2024358041672	0.4786717712950832	-71.81393044595359
135	-118.72570367285233	0.47673213131486136	-71.52922267268039
136	-118.25086302675695	0.47484064609538734	-71.24163906331353
137	-117.77786590217941	0.47299712457753174	-70.95115056900356
138	-117.3936797060402	0.38418619613921123	-79.35924628825856
139	-117.01125044724503	0.3824292587951703	-79.15075382652381
140	-117.83118336583954	-0.8199329185945032	-199.00454230669567
141	-118.65291741406696	-0.8217340482274267	-200.0045881885815
142	-118.07527320662525	0.5776442074417076	-60.8884966698966
143	-117.49945478435593	0.5758184222693217	-60.493430979693535
144	-116.73149379011087	0.7679609942450583	-40.70335535985002
145	-115.96522284574361	0.766270944367264	-40.10439935338386
146	-115.42223877314782	0.542984072595786	-61.666815586165654
147	-114.88081250244832	0.5414262706995032	-61.27961170319763
148	-114.41712469240233	0.4636878100459967	-68.51203149784878
149	-114.10441518538406	0.31270950701826905	-83.14617399057478
150	-113.79313036676834	0.311284818615718	-82.97593332381291
151	-113.48323879364422	0.3098915731241192	-82.80397305435648
152	-112.62342606974993	0.8598127238942936	-27.501966404214635
153	-112.3089520468256	0.3144740229243297	-81.17602377731632
154	-111.99572135239083	0.3132306944347647	-80.98588260334981
155	-112.51188600638218	-0.5161646539913534	-163.61218675152645
156	-113.02931448724287	-0.517428480860687	-164.25473409245095
157	-112.26283585630657	0.7664786309363052	-36.38145139361288
158	-111.49759589565878	0.76523996064779	-35.73883979152816
159	-110.75909454181098	0.7385013538477949	-37.64746051087998
160	-110.02167996518963	0.7374145766213474	-37.01763687967675
161	-110.2362811374183	-0.2146011722286687	-131.48179718805665
162	-110.816404665595	-0.5801235281766992	-168.24863395508856
163	-111.39762075989954	-0.581216094304537	-168.93801409604907
164	-111.00733100897887	0.3902897509206724	-72.36864566783296
165	-110.61815310967526	0.38917789930360414	-72.08954107861916
166	-111.01175862477471	-0.39360551509945196	-149.97870461962086
167	-111.40647643872516	-0.39471781395045014	-150.48354001981903
168	-111.80234642201285	-0.39586998328768175	-150.99347476749398
169	-112.19940856150478	-0.39706213949193625	-151.50856037120604
170	-111.90688704500015	0.2925215165046353	-82.9472569110413
171	-111.61556824435864	0.2913188006415055	-82.7750069808498
172	-110.88212242097276	0.7334458233858783	-38.27098590577117
173	-110.14977580187184	0.7323466191009231	-37.64746051087998
174	-109.4184544126499	0.7313213892219466	-37.01763687967675
175	-108.68808438245952	0.7303700301903717	-36.38145139361288
176	-109.82954919009599	-1.141464807636467	-222.83456514610583
177	-110.97200688148902	-1.1424576913930338	-224.07531832939983
178	-110.59418005790266	0.37782682358636066	-73.18932452285266
179	-109.94108161493287	0.6530984429697924	-45.28433576092384
180	-109.28898732162115	0.6520942933117198	-44.731652283761456
181	-108.51354285339455	0.7754444682265955	-31.744540498961275
182	-108.09538949036441	0.41815336303014305	-66.69820655038035
183	-107.6780538434444	0.4173356469200087	-66.36182479836398
184	-107.26149375751868	0.4165600859257239	-66.02204525087272
185	-106.84566715581089	0.41582660170779207	-65.67883358674011
186	-106.2409422590456	0.6047248967652905	-46.37317747928145
187	-105.63684776048828	0.6040944985573162	-45.8314924033146
188	-105.03332264049264	0.6035251199956377	-45.28433576092384
189	-106.08277426529314	-1.049451624800497	-209.97848512054296
190	-107.1328403117366	-1.0500660464434617	-211.08937890963938
191	-108.18362684710044	-1.0507865353638408	-212.21149384812057
192	-107.58665346120563	0.5969733858948132	-48.48628825761963
193	-106.99044640394327	0.5962070572623617	-47.96594773496932
194	-107.57613559455592	-0.5856891906126549	-165.5593654652086
195	-108.16259005139025	-0.586454456834332	-166.22158127798846
196	-107.89082297690985	0.27176707448040816	-80.98588260334981
197	-107.6198529552554	0.27097002165444906	-80.79382081146446
198	-107.55008054172369	0.06977241353170882	-100.64261160208468
199	-107.48107076259014	0.06900977913355177	-100.64910262836838
200	-106.75060083439008	0.7304699282000513	-34.43407794258561
201	-106.0208127850622	0.7297880493278797	-33.77179590160163
202	-105.27805006220119	0.7427627228610163	-31.744540498961275
203	-104.5358204757101	0.7422295864910922	-31.055091413092196
204	-103.79404905290342	0.7417714228066785	-30.35867819504262
205	-103.16314211597289	0.6309069369305291	-40.70335535985002
206	-102.532554688347	0.6305874276258834	-40.10439935338386
207	-102.51304080560472	0.019513882742288047	-100.58116641411806
208	-102.49378076536804	0.019260040236673603	-100.58703678193746
209	-102.47477262217838	0.019008143189665816	-100.59296644640146
210	-102.45601445602125	0.01875816615712722	-100.59895600646612
211	-103.29155212720156	-0.8355376711803046	-186.009781574051
212	-104.1274222783947	-0.8358701511931486	-186.87856724651616
213	-104.40096602749132	-0.2735437490966177	-131.48179718805665
214	-104.67495431861092	-0.27398829111959344	-131.79979513945116
215	-104.96938037229535	-0.29442605368443253	-134.11755968705367
216	-105.26430838359313	-0.29492801129778456	-134.4621815020744
217	-105.91504264998727	-0.6507342663941387	-170.33773502300687
218	-106.56637439543697	-0.6513317454496956	-171.04821719495644
219	-106.13248361149736	0.4338907839396029	-63.17729600147654
220	-105.6992122703468	0.433271341150558	-62.80534949644095
221	-105.26651660720334	0.43269566314346264	-62.42964595600096
222	-106.16488512424819	-0.8983685170448439	-195.10336831168803
223	-107.06387635696215	-0.8989912327139677	-196.0640083956445
224	-106.99953582970457	0.06434052725758477	-100.62982363120321
225	-106.93590232626816	0.06363350343640661	-100.63618548606385
226	-107.19099790089805	-0.2550955746298911	-132.4454597892574
227	-108.78141584475887	-1.590417943860814	-266.2327922869798
228	-110.37272080032118	-1.5913049555623076	-267.9119114009897
229	-110.75883487629487	-0.38611407597369407	-148.9841283976904
230	-111.14603570326616	-0.387200826971295	-149.47891757342464
231	-111.07198686992697	0.07404883333919088	-103.74115236934716
232	-110.9990564190999	0.07293045082707295	-103.77894178721937
233	-110.25924222370567	0.7398141953942314	-37.01763687967675
234	-109.52046431540474	0.738777908300932	-36.38145139361288
235	-109.23701991002385	0.2834444053808909	-81.17602377731632
236	-109.48241355182545	-0.2453936418015985	-133.77638409018314
237	-109.72876501317772	-0.24635146135227615	-134.11755968705367
238	-109.97609917806669	-0.24733416488896864	-134.4621815020744
239	-109.19378359127563	0.7823155867910572	-31.744540498961275
240	-108.4123966694938	0.7813869217818308	-31.055091413092196
241	-107.7293166963327	0.6830799731610995	-40.10439935338386
242	-107.04701746223184	0.6822992341008671	-39.499393286246324
243	-108.16840984487654	-1.1213923826447	-219.18625572670135
244	-109.29062731942476	-1.122217474548222	-220.39015729969833
245	-110.41378324117696	-1.1231559217522005	-221.60621949464476
246	-111.53799106022625	-1.124207819049289	-222.83456514610583
247	-113.74722111347776	-2.209230053251517	-332.46099638537817
248	-115.95783977492256	-2.210618661444798	-334.8090872579578
249	-115.46388452028343	0.4939552546391326	-66.56231431100865
250	-114.97149127418169	0.4923932461017415	-66.22455991010975
251	-114.48061029992583	0.49088097425585886	-65.8833938485957
252	-114.00142734003666	0.47918295988917237	-66.56231431100865
253	-113.52365866573739	0.47776867429926995	-66.22455991010975
254	-113.04725601756597	0.4764026481714154	-65.8833938485957
255	-115.16577146132842	-2.1185154437624476	-324.8988003938104
256	-117.28581880119806	-2.120047339869643	-327.17050544829334
257	-117.4005522603168	-0.11473345911873878	-128.75916471307173
258	-117.51704335097698	-0.11649109066017616	-129.04966132633507
259	-118.20197073320772	-0.6849273822307396	-186.009781574051
260	-118.88873669834081	-0.6867659651330911	-186.87856724651616
261	-119.57741061667575	-0.688673918334942	-187.7561285318345
262	-121.87423899251135	-2.2968283758356023	-349.26024820023565
263	-124.1732768874371	-2.299037894925746	-351.77802848508645
264	-126.51238107685597	-2.339104189418876	-358.0836958293254
265	-128.85416328456546	-2.3417822077094854	-360.69060184780346
266	-131.19886005422288	-2.3446967696574177	-363.3238402503065
267	-133.54670822388576	-2.347848169662882	-365.98367702051166
268	-133.13719278907732	0.40951543480844066	-92.59516474304151
269	-132.7310245454597	0.4061682436176284	-92.52036842731465
270	-132.32816246593757	0.40286207952212294	-92.44481659324714
271	-131.9221765089017	0.4059859570358526	-91.7295667623526
272	-131.5194150141395	0.4027614947622169	-91.6460270326794
273	-130.99781332688067	0.5216016872588227	-79.35924628825856
274	-130.4793427318771	0.5184705950035777	-79.15075382652381
275	-129.96395085836159	0.5153918735155116	-78.94015538032707
276	-129.68105387509308	0.28289698326850043	-101.67425253151029
277	-129.40115497807457	0.2798988970185121	-101.69116417324271
278	-129.12422589469023	0.27692908338434563	-101.70824663963911
279	-128.7255814300007	0.3986444646895393	-89.25977942573616
280	-128.32983853919296	0.39574289080772473	-89.15129234922844
281	-127.94021197011583	0.3896265690771372	-89.3671816314788
282	-127.57027589212949	0.3699360779863383	-90.94660417148229
283	-127.2282748104878	0.3420010816416834	-93.37016772796139
284	-127.27489881973658	-0.046624009248773746	-131.890675735365
285	-127.32427786927018	-0.04937904953359862	-132.21280377309594
286	-126.97918604812756	0.34509182114261705	-92.81509575500843
287	-126.54884599653539	0.43034005159216804	-83.94518088891029
288	-126.12118764655904	0.42765834997635466	-83.78301099889927
289	-125.80574991198938	0.31543773456965596	-94.57741418959358
290	-125.49291881882498	0.31283109316440516	-94.52264059554908
291	-125.1437419371811	0.34917688164387073	-90.57523065443743
292	-124.19589129975972	0.9478506374213822	-30.35867819504262
293	-123.79338419565123	0.4025071041084942	-83.94518088891029
294	-123.39328046368371	0.40010373196751914	-83.78301099889927
295	-123.19948596456105	0.1937944991226601	-104.01383055141807
296	-122.69236213626014	0.5071238283009052	-72.48710313447076
297	-122.18753046575078	0.5048316705093612	-72.209195085324
298	-121.68493995993494	0.5025905058158457	-71.92847988416565
299	-120.89848935785842	0.7864506020765134	-43.039879752284044
300	-120.11414971430291	0.7843396435555121	-42.46452500230711
301	-119.33184180304177	0.7823079112611424	-41.883358588189004
302	-119.39861611559863	-0.06677431255685917	-126.00927305872779
303	-119.46734988432878	-0.06873376873015502	-126.27199298861393
304	-119.53805005203715	-0.07070016770836673	-126.53736665516558
305	-122.24084787691886	-2.7027978248817135	-389.81783254020786
306	-122.86993623573278	-0.6290883588139167	-185.14968375831046
307	-123.50133468911596	-0.6313984533831842	-186.009781574051
308	-124.13510701468996	-0.6337723255740002	-186.87856724651616
309	-123.71262899141709	0.4224780232728733	-81.88730468740292
310	-123.29254618319386	0.42008280822322774	-81.70434816909385
