Iteration	Q Value	Difference	G Value
1	-124.70046374336233	0.2995362566376656	-95.04637433623368
2	-124.40342248306239	0.2970412602999488	-94.99633771336735
3	-124.10884621493244	0.2945762681299442	-94.94579567006804
4	-123.62041906688926	0.4884271480431863	-75.26613141061313
5	-123.13437781976191	0.4860412471273463	-75.01629435415467
6	-122.65067337847495	0.4837044412869602	-74.76393369106532
7	-122.1692568839939	0.48141649448105284	-74.50902393036901
8	-121.60639825363991	0.5628586303539862	-65.8833938485957
9	-120.99365646468148	0.6127417889584308	-60.33221935779744
10	-120.38303524708313	0.6106212175983501	-59.9315347048459
11	-119.77447292193398	0.6085623251491512	-59.526802732167575
12	-119.16790801829208	0.6065649036418961	-59.11798255774502
13	-118.63847453721026	0.5294334810818242	-66.22455991010975
14	-118.11092373032412	0.5275508068861399	-65.8833938485957
15	-118.29955446435937	-0.18863073403525732	-136.9739971338505
16	-118.49003363823952	-0.19047917388014923	-137.34747185237424
17	-118.1206395108986	0.36939412734092514	-81.5506209041477
18	-117.75307575118505	0.3675637597135477	-81.36426353954315
19	-117.38730523144636	0.3657705197386889	-81.17602377731632
20	-116.87560212705606	0.5117031043903069	-66.21699479241516
21	-116.3656036289412	0.5099984981148538	-65.87575231557086
22	-115.89954315698277	0.4660604719584285	-69.7595564330978
23	-115.43508869948464	0.4644544574981353	-69.4540974071695
24	-114.97219334185515	0.46289535762949185	-69.14555293653484
25	-114.39861090220684	0.5735824396483054	-57.61394937702503
26	-113.82648286770018	0.5721280345066617	-57.18580745154044
27	-114.00303601090374	-0.17655314320356297	-131.48179718805665
28	-113.69446739070045	0.3085686202032889	-83.14617399057478
29	-113.38728205003157	0.30718534066888026	-82.97593332381291
30	-113.08144896007482	0.3058330899567494	-82.80397305435648
31	-112.4958804050198	0.5855685550550191	-54.52459345457328
32	-111.91157406010672	0.5843063449130881	-54.065245913710385
33	-111.32847090449262	0.5831031556140971	-53.601258498697355
34	-110.8432396904121	0.48523121408051395	-62.80534949644095
35	-110.359103753068	0.48413593734410654	-62.42964595600096
36	-109.87601418984036	0.48308956322763663	-62.050147430304
37	-109.41270927835657	0.46330491148378883	-63.54552304146178
38	-108.95035514558778	0.46235413276879456	-63.17729600147654
39	-108.4889050890963	0.4614500564914721	-62.80534949644095
40	-107.9801555319756	0.5087495571207086	-57.61394937702503
41	-107.47221205117124	0.5079434808043573	-57.18580745154044
42	-108.05308358531161	-0.5808715341403712	-165.5593654652086
43	-108.63476856223838	-0.5816849769267662	-166.22158127798846
44	-109.21063668939588	-0.5758681271575057	-166.22158127798846
45	-109.78743518389575	-0.5767984944998688	-166.89048613938232
46	-109.0138317829965	0.7736034008992476	-32.42709509397166
47	-108.24113887015615	0.7726929128403555	-31.744540498961275
48	-109.82105540432438	-1.579916534168234	-266.2327922869798
49	-111.40196396429104	-1.5809085599666588	-267.9119114009897
50	-111.29424256096016	0.10772140333088487	-100.62982363120321
51	-111.1876619902112	0.10658057074896021	-100.63618548606385
52	-110.89313651726015	0.2945254729510509	-81.73511469510623
53	-110.59971136112902	0.2934251561311214	-81.5506209041477
54	-110.30735688291317	0.2923544782158558	-81.36426353954315
55	-110.0160435518572	0.29131333105597434	-81.17602377731632
56	-110.84799122916148	-0.8319476773042851	-193.21081128228545
57	-111.68103466315557	-0.8330434339940922	-194.15233462857117
58	-112.55426973959098	-0.8732350764354067	-199.00454230669567
59	-113.42877292408089	-0.8745031844899103	-200.0045881885815
60	-112.87486329367263	0.5539096304082562	-58.03780988325478
61	-112.32225415450615	0.5526091391664778	-57.61394937702503
62	-111.7708896874765	0.5513644670296571	-57.18580745154044
63	-111.33830110558021	0.43258858189628313	-68.51203149784878
64	-111.88051174917649	-0.5422106435962775	-165.5593654652086
65	-112.09947047258656	-0.2189587234100685	-133.77638409018314
66	-112.31965136473123	-0.2201808921446684	-134.11755968705367
67	-111.82822781109869	0.49142355363254353	-63.17729600147654
68	-111.33799902795211	0.49022878314657703	-62.80534949644095
69	-110.8489154972326	0.4890835307195118	-62.42964595600096
70	-111.0781901831621	-0.22927468592951072	-133.77638409018314
71	-110.37444183492899	0.7037483482331197	-40.70335535985002
72	-109.67174141011354	0.7027004248154469	-40.10439935338386
73	-110.78548618621636	-1.1137447761028199	-221.0462190203959
74	-111.90032040536829	-1.1148342191519305	-222.26890810141
75	-111.12565798074047	0.7746624246278202	-34.43407794258561
76	-110.35211935994909	0.7735386207913848	-33.77179590160163
77	-109.57962640777991	0.7724929521691735	-33.102824143031945
78	-108.80127554869172	0.7783508590881922	-31.744540498961275
79	-108.02381370733572	0.7774618413560006	-31.055091413092196
80	-108.20366830084964	-0.17985459351392308	-126.00927305872779
81	-108.38435154772729	-0.18068324687764914	-126.27199298861393
82	-108.56588169880168	-0.18153015107438364	-126.53736665516558
83	-108.16534319679215	0.4005385020095247	-68.51203149784878
84	-107.7656294769237	0.3997137198684442	-68.19397120994827
85	-107.36670016407314	0.3989293128505693	-67.87269819186693
86	-106.96851496235026	0.39818520172288174	-67.54817999178479
87	-106.30586336632526	0.6626515960250003	-40.70335535985002
88	-105.64384872619584	0.6620146401294136	-40.10439935338386
89	-105.90222821081446	-0.25837948461861515	-131.48179718805665
90	-106.16120388010083	-0.2589756692863716	-131.79979513945116
91	-106.59937888749603	-0.438175007395202	-149.97870461962086
92	-107.03822049881926	-0.43884161132322674	-150.48354001981903
93	-107.477773041506	-0.4395525426867408	-150.99347476749398
94	-107.918080914803	-0.4403078732970016	-151.50856037120604
95	-108.47502197317023	-0.5569410583672294	-163.61218675152645
96	-109.03281909436303	-0.5577971211928059	-164.25473409245095
97	-108.40622267821222	0.626596416150818	-46.37317747928145
98	-107.78047537546324	0.6257473027489766	-45.8314924033146
99	-107.15551397931785	0.6249613961453946	-45.28433576092384
100	-107.09038495554552	0.06512902377232876	-100.64261160208468
101	-107.02597213227375	0.06441282327176623	-100.64910262836838
102	-106.60553215982092	0.4204399724528258	-64.98197488699124
103	-106.18575941283879	0.41977274698213307	-64.62825746160732
104	-106.45828802120322	-0.27252860836442494	-133.4386202492813
105	-107.04929879564327	-0.5910107744400506	-165.5593654652086
106	-107.64102162046672	-0.5917228248234494	-166.22158127798846
107	-107.90237524516388	-0.26135362469716483	-133.77638409018314
108	-108.16452708958278	-0.26215184441889505	-134.11755968705367
109	-107.40032722367656	0.764199865906221	-31.744540498961275
110	-106.63687486557072	0.7634523581058374	-31.055091413092196
111	-105.87409289886544	0.7627819667052762	-30.35867819504262
112	-106.13980656776936	-0.26571366890391346	-132.4454597892574
113	-106.40614041915487	-0.2663338513855109	-132.7731917063206
114	-106.6731213554312	-0.26698093627634023	-133.1042340467885
115	-106.22305829773855	0.45006305769265964	-61.666815586165654
116	-105.77362383179313	0.4494344659454157	-61.27961170319763
117	-105.32477256017417	0.4488512716189632	-60.8884966698966
118	-104.6961700845955	0.6286024755786741	-42.46452500230711
119	-104.06804196963142	0.6281281149640705	-41.883358588189004
120	-104.37898058372834	-0.31093861409691215	-135.16190337932292
121	-104.69036151909633	-0.3113809353679926	-135.5170741205282
122	-104.27523086392013	0.41513065517619907	-63.17729600147654
123	-103.86053205024534	0.41469881367478933	-62.80534949644095
124	-103.4462231893029	0.414308860942441	-62.42964595600096
125	-102.84215975493271	0.6040634343701896	-43.039879752284044
126	-102.23838340740646	0.6037763475262494	-42.46452500230711
127	-101.63483315921428	0.6035502481921782	-41.883358588189004
128	-102.26103216854665	-0.6261990093323675	-164.25473409245095
129	-102.88745956496675	-0.6264273964200981	-164.9037718105565
130	-102.52747773527754	0.3599818296892039	-66.8892765960461
131	-102.16775120636967	0.3597265289078706	-66.55482484449101
132	-101.80824364223012	0.3595075641395482	-66.21699479241516
133	-101.60002003184132	0.20822361038879933	-80.98588260334981
134	-101.39195803963756	0.20806199220376698	-80.79382081146446
135	-100.93233399968946	0.4596240399480962	-55.42955404482727
136	-100.47280413489284	0.4595298647966217	-54.979347520027545
137	-100.09612958850832	0.37667454638452114	-62.80534949644095
138	-99.71946475218324	0.37666483632507664	-62.42964595600096
139	-99.72856834097344	-0.009103588790196682	-100.62982363120321
140	-99.73764451242434	-0.009076171450900006	-100.63618548606385
141	-99.35148414922587	0.3861603631984707	-61.12160819257727
142	-98.9652582793758	0.38622586985006535	-60.72889716421947
143	-98.57892789016002	0.3863303892157859	-60.33221935779744
144	-98.58782725481544	-0.008899364655420072	-99.46886435570207
145	-98.59658397575922	-0.008756720943779328	-99.46349934919401
146	-98.60519893750863	-0.008614961749415784	-99.45808015070101
147	-98.62513650819821	-0.01993757068957791	-100.59895600646612
148	-98.98006073998677	-0.3549242317885586	-134.11755968705367
149	-99.33488194760764	-0.35482120762087277	-134.4621815020744
150	-98.76036671401346	0.5745152335941839	-41.883358588189004
151	-98.18572626493584	0.57464044907762	-41.29632180625152
152	-97.68873188486268	0.4969943800731613	-48.48628825761963
153	-97.19150404336374	0.4972278414989404	-47.96594773496932
154	-96.5370344079197	0.6544696354440305	-31.744540498961275
155	-97.27504141407057	-0.7380070061508661	-170.33773502300687
156	-98.01277317187943	-0.7377317578088594	-171.04821719495644
157	-99.56495429599832	-1.5521811241188885	-253.2308855837678
