Weight	Best Action	Count	Q Value
0.0	1	960	-124.68431194116626
1.0	1	2962	-124.29419165928829
2.0	1	2817	-124.34732961418025
3.0	1	2339	-124.43125679622388
4.0	1	2242	-124.45185953948251
5.0	1	2182	-124.4612266632843
6.0	1	2155	-124.4630391448557
7.0	1	2219	-124.45310168131404
8.0	1	2188	-124.45497235090045
9.0	1	2234	-124.44853636655195
10.0	1	2219	-124.44529595400029
11.0	1	2275	-124.43737240799233
12.0	1	2278	-124.43577030170849
13.0	1	2299	-124.43375627570353
14.0	1	2288	-124.43654250820506
15.0	1	2262	-124.4390794030395
16.0	1	2287	-124.43938728490846
17.0	1	2245	-124.4436201924441
18.0	1	2261	-124.44203850837356
19.0	1	2269	-124.44277863562759
20.0	1	2218	-124.45076928163984
21.0	1	2230	-124.44806540699034
22.0	1	2239	-124.44853754676316
23.0	1	2237	-124.44748769865278
24.0	1	2238	-124.44912977370026
25.0	1	2204	-124.45560535378694
26.0	1	2203	-124.45390993946799
27.0	1	2228	-124.45045697126163
28.0	1	2196	-124.45621961472341
29.0	1	2226	-124.45447530316463
30.0	1	2192	-124.45705646032918
31.0	1	2177	-124.46059313330919
32.0	1	2208	-124.44989833153555
33.0	1	2185	-124.41508135888729
34.0	1	2170	-124.1508737525197
35.0	1	2194	-122.70463783439816
36.0	1	2178	-116.38287468609253
37.0	1	2161	-95.655635641702
38.0	1	2208	-50.74652131202589
39.0	1	2171	-16.165598722771044
40.0	1	2149	-16.70322312546999
41.0	1	2167	-16.525547326878176
42.0	1	2152	-17.100425500610996
43.0	1	2157	-17.14809374175735
44.0	1	2143	-17.055523865210755
45.0	1	2130	-17.972757605325825
46.0	1	2055	-62.90045528884751
47.0	1	2003	-123.53635386205957
48.0	1	1953	-124.00832246687239
49.0	1	1806	-124.24313972927489
50.0	1	1599	-124.28395182058304
51.0	1	1472	-124.09046248347671
52.0	-1	982	-123.54388766943205
53.0	-1	1154	-123.32898864014949
54.0	-1	1308	-123.32510403557252
55.0	-1	1284	-123.50448686644968
56.0	-1	1529	-123.12866479080579
57.0	-1	1603	-123.24584545895532
58.0	-1	1643	-123.2910017011169
59.0	-1	1791	-123.09134144088753
60.0	-1	1840	-122.94213568580616
61.0	-1	1997	-122.6682490994356
62.0	-1	2120	-122.59992571805867
63.0	-1	2586	-121.28812700944414
64.0	-1	3215	-117.5442085476017
65.0	-1	4307	-108.35856444883846
66.0	-1	5869	-89.20845271625262
67.0	-1	8129	-65.42958894447236
68.0	-1	9880	-54.844630707827925
69.0	-1	11916	-46.79079692809546
70.0	-1	13107	-41.26709587256067
71.0	-1	14917	-33.19056799205427
72.0	-1	15054	-26.09115492333274
73.0	-1	13903	-28.841000163629065
74.0	-1	5938	-46.43775217361501
75.0	-1	452	-79.89007397662984
76.0	-1	45	-119.54101876488627
