Weight	Action	Count	Q Value
0.0	1	960	-124.68431194116626
1.0	1	2962	-124.29419165928829
2.0	1	2817	-124.34732961418025
3.0	1	2339	-124.43125679622388
4.0	1	2242	-124.45185953948251
5.0	1	2182	-124.4612266632843
6.0	1	2155	-124.4630391448557
7.0	1	2219	-124.45310168131404
8.0	1	2188	-124.45497235090045
9.0	1	2234	-124.44853636655195
10.0	1	2219	-124.44529595400029
11.0	1	2275	-124.43737240799233
12.0	1	2278	-124.43577030170849
13.0	1	2299	-124.43375627570353
14.0	1	2288	-124.43654250820506
15.0	1	2262	-124.4390794030395
16.0	1	2287	-124.43938728490846
17.0	1	2245	-124.4436201924441
18.0	1	2261	-124.44203850837356
19.0	1	2269	-124.44277863562759
20.0	1	2218	-124.45076928163984
21.0	1	2230	-124.44806540699034
22.0	1	2239	-124.44853754676316
23.0	1	2237	-124.44748769865278
24.0	1	2238	-124.44912977370026
25.0	1	2204	-124.45560535378694
26.0	1	2203	-124.45390993946799
27.0	1	2228	-124.45045697126163
28.0	1	2196	-124.45621961472341
29.0	1	2226	-124.45447530316463
30.0	1	2192	-124.45705646032918
31.0	1	2177	-124.46059313330919
32.0	1	2208	-124.44989833153555
33.0	1	2185	-124.41508135888729
34.0	1	2170	-124.1508737525197
35.0	1	2194	-122.70463783439816
36.0	1	2178	-116.38287468609253
37.0	1	2161	-95.655635641702
38.0	1	2208	-50.74652131202589
39.0	-1	1	-124.89248756270867
39.0	1	2171	-16.165598722771044
40.0	-1	2	-124.78489086846668
40.0	1	2149	-16.70322312546999
41.0	-1	2	-124.78583403297773
41.0	1	2167	-16.525547326878176
42.0	-1	5	-124.46551019703192
42.0	1	2152	-17.100425500610996
43.0	-1	14	-123.50971928706993
43.0	1	2157	-17.14809374175735
44.0	-1	36	-121.2175157309615
44.0	1	2143	-17.055523865210755
45.0	-1	62	-120.19684194002471
45.0	1	2130	-17.972757605325825
46.0	-1	103	-122.54953595222099
46.0	1	2055	-62.90045528884751
47.0	-1	175	-124.77334275057984
47.0	1	2003	-123.53635386205957
48.0	-1	298	-124.73807927689482
48.0	1	1953	-124.00832246687239
49.0	-1	429	-124.70096169879903
49.0	1	1806	-124.24313972927489
50.0	-1	589	-124.6048327683946
50.0	1	1599	-124.28395182058304
51.0	-1	777	-124.15764504646252
51.0	1	1472	-124.09046248347671
52.0	-1	982	-123.54388766943205
52.0	1	1283	-123.83206929159249
53.0	-1	1154	-123.32898864014949
53.0	1	1021	-123.84550154983246
54.0	-1	1308	-123.32510403557252
54.0	1	951	-123.95581069890588
55.0	-1	1284	-123.50448686644968
55.0	1	833	-124.0679664663217
56.0	-1	1529	-123.12866479080579
56.0	1	705	-124.023589136988
57.0	-1	1603	-123.24584545895532
57.0	1	609	-124.18286237384237
58.0	-1	1643	-123.2910017011169
58.0	1	498	-124.31680208148987
59.0	-1	1791	-123.09134144088753
59.0	1	434	-124.36145086787465
60.0	-1	1840	-122.94213568580616
60.0	1	369	-124.41775450550902
61.0	-1	1997	-122.6682490994356
61.0	1	319	-124.46089136736555
62.0	-1	2120	-122.59992571805867
62.0	1	262	-124.50695994771341
63.0	-1	2586	-121.28812700944414
63.0	1	218	-124.44327927354162
64.0	-1	3215	-117.5442085476017
64.0	1	182	-124.23577591642143
65.0	-1	4307	-108.35856444883846
65.0	1	132	-123.67656537025775
66.0	-1	5869	-89.20845271625262
66.0	1	105	-121.90808906446351
67.0	-1	8129	-65.42958894447236
67.0	1	88	-120.05444855779955
68.0	-1	9880	-54.844630707827925
68.0	1	75	-119.84656396504755
69.0	-1	11916	-46.79079692809546
69.0	1	71	-119.49442093577058
70.0	-1	13107	-41.26709587256067
70.0	1	46	-121.15827164945918
71.0	-1	14917	-33.19056799205427
71.0	1	23	-122.82055695746611
72.0	-1	15054	-26.09115492333274
72.0	1	14	-123.50606502726647
73.0	-1	13903	-28.841000163629065
73.0	1	6	-124.38137423728779
74.0	-1	5938	-46.43775217361501
74.0	1	4	-124.72332313352176
75.0	-1	452	-79.89007397662984
75.0	1	1	-124.98222060482452
76.0	-1	45	-119.54101876488627
