Iteration	Q Value	Difference	G Value
1	-124.99840637158505	0.0015936284149518087	-1.0
2	-124.99657162547172	0.0018347461133316756	-1.0
3	-124.9947387141045	0.0018329113672166386	-1.0
4	-124.99315034697545	0.0015883671290453094	-1.0
5	-124.99132085688673	0.0018294900887241283	-1.0
6	-124.98973543326697	0.0015854236197583305	-1.0
7	-124.98790938594522	0.0018260473217566187	-1.0
8	-124.9863273737964	0.0015820121488161476	-1.0
9	-124.98450473453411	0.0018226392622864296	-1.0
10	-124.9829261270367	0.0015786074974073472	-1.0
11	-124.98110688902118	0.0018192380155284127	-1.0
12	-124.97953097169837	0.0015759173228104828	-1.0
13	-124.97771538711433	0.0018155845840368556	-1.0
14	-124.97613630326124	0.0015790838530875817	-1.0
15	-124.97432685155351	0.0018094517077287264	-1.0
16	-124.97251920929749	0.0018076422560255878	-1.0
17	-124.97094532162221	0.0015738876752777742	-1.0
18	-124.96914106089612	0.0018042607260895238	-1.0
19	-124.96757055136925	0.001570509526871433	-1.0
20	-124.96576966541342	0.0018008859558307222	-1.0
21	-124.96420252728203	0.0015671381313921984	-1.0
22	-124.96263695628876	0.0015655709932644868	-1.0
23	-124.96084290305211	0.0017940532366509387	-1.0
24	-124.95927491086064	0.0015679921914681927	-1.0
25	-124.95748421966942	0.0017906911912177748	-1.0
26	-124.95591958616134	0.0015646335080816698	-1.0
27	-124.95413225029482	0.0017873358665241312	-1.0
28	-124.9525709687561	0.001561281538712933	-1.0
29	-124.950786981507	0.0017839872491123288	-1.0
30	-124.94922904523708	0.001557936269918514	-1.0
31	-124.94744839991148	0.0017806453255957422	-1.0
32	-124.94566953284125	0.0017788670702287845	-1.0
33	-124.94411671402	0.0015528188212527994	-1.0
34	-124.94234117863566	0.0017755353843398325	-1.0
35	-124.94079168816862	0.0015494904670418919	-1.0
36	-124.93901947781013	0.0017722103584816296	-1.0
37	-124.937249039662	0.0017704381481280507	-1.0
38	-124.93570464133393	0.0015443983280789553	-1.0
39	-124.93416178740418	0.0015428539297488442	-1.0
40	-124.93239620694646	0.0017655804577145773	-1.0
41	-124.9308566614511	0.0015395454953619492	-1.0
42	-124.92930835572321	0.001548305727894217	-1.0
43	-124.9275494967228	0.0017588590004038451	-1.0
44	-124.92600267772036	0.0015468190024421347	-1.0
45	-124.92445740553691	0.0015452721834492422	-1.0
46	-124.92291367862565	0.001543726911265253	-1.0
47	-124.92116182388986	0.001751854735786651	-1.0
48	-124.91962139256024	0.001540431329615899	-1.0
49	-124.91787283011053	0.0017485624497197705	-1.0
50	-124.91612601622326	0.00174681388726583	-1.0
51	-124.9145906207013	0.0015353955219552518	-1.0
52	-124.91284752129839	0.0017430994029155045	-1.0
53	-124.91130796262581	0.0015395586725759358	-1.0
54	-124.90976927680912	0.0015386858166976936	-1.0
55	-124.90803103404436	0.0017382427647589793	-1.0
56	-124.90649562515624	0.0015354088881167627	-1.0
57	-124.904961751677	0.001533873479232284	-1.0
58	-124.90322831643738	0.0017334352396289887	-1.0
59	-124.90169771026687	0.0015306061705047114	-1.0
60	-124.90016863470254	0.001529075564334903	-1.0
61	-124.89843999257988	0.0017286421226572202	-1.0
62	-124.89691417473323	0.0015258178466552863	-1.0
63	-124.89538988270442	0.0015242920288045525	-1.0
64	-124.89366601933376	0.0017238633706568862	-1.0
65	-124.89214497546035	0.0015210438734101217	-1.0
66	-124.89062545263081	0.00151952282953971	-1.0
67	-124.88910744932411	0.0015180033066997112	-1.0
68	-124.88759053120982	0.0015169181142908883	-1.0
69	-124.88607513001364	0.0015154011961868719	-1.0
70	-124.88455791906894	0.001517210944697922	-1.0
71	-124.88284459441707	0.0017133246518739043	-1.0
72	-124.88133061400796	0.0015139804091006681	-1.0
73	-124.87962051666115	0.0017100973468160419	-1.0
74	-124.87791212941168	0.0017083872494652041	-1.0
75	-124.87640308146759	0.0015090479440971194	-1.0
76	-124.87469791165331	0.001705169814272267	-1.0
77	-124.87319207792697	0.0015058337263411659	-1.0
78	-124.87168775003435	0.0015043278926185621	-1.0
79	-124.86998729555152	0.0017004544828296275	-1.0
80	-124.8684861724413	0.001501123110230651	-1.0
81	-124.86678891953605	0.00169725290524525	-1.0
82	-124.86509336388372	0.0016955556523328141	-1.0
83	-124.86339950378704	0.0016938600966796002	-1.0
84	-124.86189786350457	0.001501640282469907	-1.0
85	-124.86038975436443	0.001508109140132774	-1.0
86	-124.85888315333345	0.0015066010309823241	-1.0
87	-124.85719588925298	0.0016872640804734829	-1.0
88	-124.8556924820871	0.001503407165884596	-1.0
89	-124.85419057832839	0.0015019037587080675	-1.0
90	-124.85250800682292	0.0016825715054693546	-1.0
91	-124.85100928753947	0.0014987192834468033	-1.0
92	-124.84951206697531	0.001497220564161239	-1.0
93	-124.84783417398118	0.0016778929941239085	-1.0
94	-124.84634012853058	0.0014940454505989464	-1.0
95	-124.8446654074749	0.001674721055678674	-1.0
96	-124.8431745307908	0.0014908766841017496	-1.0
97	-124.84150297533287	0.0016715554579320724	-1.0
98	-124.84001526108092	0.0014877142519509334	-1.0
99	-124.8383468648927	0.001668396188222232	-1.0
100	-124.83686230675119	0.0014845581415130482	-1.0
101	-124.8351970635173	0.0016652432338872813	-1.0
102	-124.83371062047112	0.0014864430461756228	-1.0
103	-124.83222566386799	0.0014849566031358563	-1.0
104	-124.83056540944246	0.0016602544255306384	-1.0
105	-124.82908359805035	0.0014818113921108989	-1.0
106	-124.82760326846963	0.0014803295807155337	-1.0
107	-124.8261244192185	0.0014788492511286222	-1.0
108	-124.82447026603762	0.0016541531808798027	-1.0
109	-124.82299454978892	0.001475716248705794	-1.0
110	-124.82152030925647	0.0014742405324454921	-1.0
111	-124.81987076018555	0.0016495490709189653	-1.0
112	-124.8183996434427	0.0014711167428487215	-1.0
113	-124.8169299978166	0.0014696456261020785	-1.0
114	-124.81528503905713	0.0016449587594706827	-1.0
115	-124.81381850803541	0.0014665310217196748	-1.0
116	-124.81217643521856	0.0016420728168498044	-1.0
117	-124.81070679557841	0.001469639640149012	-1.0
118	-124.8092386255779	0.0014681700005070297	-1.0
119	-124.80760113264351	0.001637492934392526	-1.0
120	-124.80613606830593	0.001465064337580202	-1.0
121	-124.8046724690327	0.0014635992732365821	-1.0
122	-124.80321033335873	0.0014621356739610292	-1.0
123	-124.80157886871656	0.0016314646421733414	-1.0
124	-124.80011982664291	0.0014590420736482201	-1.0
125	-124.79849145250745	0.001628374135464128	-1.0
126	-124.79703549785	0.0014559546574446358	-1.0
127	-124.79541020804334	0.0016252898066682064	-1.0
128	-124.79395733463036	0.0014528734129726217	-1.0
129	-124.79233512298691	0.0016222116434505551	-1.0
130	-124.79071453355512	0.0016205894317948832	-1.0
131	-124.78926635581662	0.001448177738495815	-1.0
132	-124.78781962625587	0.0014467295607545338	-1.0
133	-124.78636707753648	0.0014525487193850495	-1.0
134	-124.78475142075374	0.0016156567827465551	-1.0
135	-124.78330194023985	0.0014494805138838274	-1.0
136	-124.7816893485944	0.0016125916454541311	-1.0
137	-124.78024293015267	0.001446418441730657	-1.0
138	-124.7786333975173	0.0016095326353706696	-1.0
139	-124.77719003502665	0.0014433624906473597	-1.0
140	-124.7757481158985	0.0014419191281547228	-1.0
141	-124.77414307807739	0.0016050378211076577	-1.0
142	-124.77270420590618	0.00143887217120664	-1.0
143	-124.77126677260713	0.001437433299045665	-1.0
144	-124.76966621612931	0.001600556477825421	-1.0
145	-124.76823182082005	0.0014343953092605943	-1.0
146	-124.76663429929401	0.0015975215260368714	-1.0
147	-124.76520293590158	0.0014313633924274427	-1.0
148	-124.76377300387254	0.0014299320290405149	-1.0
149	-124.76217994116345	0.0015930627090909866	-1.0
150	-124.76075303212916	0.0014269090342935442	-1.0
151	-124.75916298939181	0.0015900427373480852	-1.0
152	-124.75773909730928	0.0014238920825278	-1.0
153	-124.75615206850676	0.0015870288025183754	-1.0
154	-124.75473118734513	0.0014208811616356343	-1.0
155	-124.75314716645258	0.0015840208925510524	-1.0
156	-124.751729290193	0.0014178762595804528	-1.0
157	-124.75014827119759	0.0015810189954095222	-1.0
158	-124.74873339383326	0.0014148773643256618	-1.0
159	-124.74715537073422	0.00157802309904298	-1.0
160	-124.74574348627036	0.001411884463863089	-1.0
161	-124.74433301369095	0.001410472579408406	-1.0
162	-124.74275939097204	0.001573622718908041	-1.0
163	-124.74135190248793	0.0014074884841051016	-1.0
164	-124.73978126088024	0.0015706416076994856	-1.0
165	-124.73837675052623	0.0014045103540070158	-1.0
166	-124.73697364468256	0.0014031058436643207	-1.0
167	-124.73540738133266	0.0015662633499005096	-1.0
168	-124.7340072448582	0.0014001364744586908	-1.0
169	-124.73260850852022	0.0013987363379897033	-1.0
170	-124.73121117091856	0.0013973376016593875	-1.0
171	-124.72981483473566	0.00139633618289281	-1.0
172	-124.72841989488896	0.0013949398467048013	-1.0
173	-124.7270263499821	0.001393544906861166	-1.0
174	-124.72563270853809	0.0013936414440109957	-1.0
175	-124.72424046073553	0.0013922478025563123	-1.0
176	-124.72268717497009	0.0015532857654392274	-1.0
177	-124.7212978727011	0.0013893022689899226	-1.0
178	-124.7197475295237	0.001550343177399327	-1.0
179	-124.71836116690015	0.0013863626235490756	-1.0
180	-124.71697619063923	0.001384976260922599	-1.0
181	-124.71543016914389	0.0015460214953435525	-1.0
182	-124.71404749664045	0.001382672503439153	-1.0
183	-124.71266620680952	0.0013812898309311095	-1.0
184	-124.71112437961527	0.0015418271942451156	-1.0
185	-124.70974601290136	0.001378366713908008	-1.0
186	-124.70836902455416	0.0013769883472036781	-1.0
187	-124.70683149454217	0.0015375300119870872	-1.0
188	-124.70545742071333	0.0013740738288419152	-1.0
189	-124.70408472095832	0.001372699755009421	-1.0
190	-124.70255147524992	0.0015332457084014095	-1.0
191	-124.70118168144037	0.001369793809544717	-1.0
192	-124.69981325742464	0.001368424015737446	-1.0
193	-124.69828428317977	0.0015289742448629795	-1.0
194	-124.69675671857071	0.0015275646090628925	-1.0
195	-124.69539185970463	0.001364858866082841	-1.0
196	-124.69402836569742	0.0013634940072080326	-1.0
197	-124.69266623518422	0.0013621305132005546	-1.0
198	-124.69114428862315	0.0015219465610698535	-1.0
199	-124.68978504218701	0.0013592464361380507	-1.0
200	-124.68842715499731	0.0013578871896982037	-1.0
201	-124.68690944751643	0.001517707480886088	-1.0
202	-124.68555311070737	0.0013563368090530048	-1.0
203	-124.68419813023513	0.001354980472243028	-1.0
204	-124.68268499307797	0.0015131371571612817	-1.0
205	-124.68133288072336	0.001352112354609858	-1.0
206	-124.6799821204811	0.0013507602422606624	-1.0
207	-124.6784731993337	0.0015089211474048625	-1.0
208	-124.67712529877282	0.0013479005608729722	-1.0
209	-124.67577874611251	0.0013465526603084754	-1.0
210	-124.67427402833947	0.0015047177730451722	-1.0
211	-124.6729303269496	0.0013437013898709438	-1.0
212	-124.67142845759572	0.0015018693538735306	-1.0
213	-124.67008760177659	0.0013408558191372322	-1.0
214	-124.66858857514788	0.0014990266287071563	-1.0
215	-124.6672505592112	0.0013380159366818134	-1.0
216	-124.66575436962506	0.001496189586134733	-1.0
217	-124.6644191878939	0.0013351817311644254	-1.0
218	-124.66292582967907	0.0014933582148302094	-1.0
219	-124.66143396482246	0.0014918648566037973	-1.0
220	-124.66010310349611	0.001330861326351851	-1.0
221	-124.65877357303108	0.0013295304650284834	-1.0
222	-124.65744537209652	0.0013282009345658707	-1.0
223	-124.65595898769749	0.0014863843990298164	-1.0
224	-124.65463274398347	0.0013262437140184602	-1.0
225	-124.65330782651317	0.0013249174702991695	-1.0
226	-124.6519756302056	0.0013321963075725307	-1.0
227	-124.65064415036774	0.0013314798378587511	-1.0
228	-124.64931400200972	0.001330148358022143	-1.0
229	-124.64798518380006	0.0013288182096573564	-1.0
230	-124.6465068924435	0.0014782913565625222	-1.0
231	-124.64518088134339	0.0013260111001045516	-1.0
232	-124.64385619625439	0.0013246850890027417	-1.0
233	-124.64253283585047	0.0013233604039157854	-1.0
234	-124.64121079880697	0.0013220370435078621	-1.0
235	-124.63973937465467	0.0014714241522995053	-1.0
236	-124.63842013107235	0.0013192435823157211	-1.0
237	-124.63710220673363	0.0013179243387213546	-1.0
238	-124.63578560031924	0.0013166064143916856	-1.0
239	-124.63431960136543	0.0014659989538046148	-1.0
240	-124.63300577755642	0.00131382380901357	-1.0
241	-124.63154255842538	0.0014632191310397502	-1.0
242	-124.63023066331111	0.0013118951142701007	-1.0
243	-124.62891946543112	0.0013111978799855706	-1.0
244	-124.62760896456892	0.001310500862203412	-1.0
245	-124.62629059830441	0.0013183662645133154	-1.0
246	-124.62497294556516	0.0013176527392460002	-1.0
247	-124.62365661047865	0.0013163350865141865	-1.0
248	-124.62234159172722	0.0013150187514270328	-1.0
249	-124.62088781120448	0.001453780522737702	-1.0
250	-124.61957556125233	0.0013122499521500686	-1.0
251	-124.61826462355013	0.0013109377022004765	-1.0
252	-124.61681491999556	0.001449703554570192	-1.0
253	-124.61550674293461	0.0013081770609488785	-1.0
254	-124.61405979726067	0.0014469456739476527	-1.0
255	-124.61275437532245	0.001305421938212703	-1.0
256	-124.61145025880619	0.0013041165162661628	-1.0
257	-124.61000736961637	0.0014428891898177199	-1.0
258	-124.6087060001058	0.0013013695105712486	-1.0
259	-124.60740593196475	0.0013000681410488824	-1.0
260	-124.6061055837872	0.0013003481775513137	-1.0
261	-124.6048056996288	0.0012998841583993226	-1.0
262	-124.60350711535455	0.0012985842742523346	-1.0
263	-124.6020715290366	0.0014355863179389416	-1.0
264	-124.60077567893295	0.0012958501036592907	-1.0
265	-124.5994811246794	0.0012945542535476307	-1.0
266	-124.59804956435214	0.0014315603272621047	-1.0
267	-124.59675773621316	0.001291828138974438	-1.0
268	-124.59532889927436	0.0014288369387998046	-1.0
269	-124.59403979180047	0.0012891074738945463	-1.0
270	-124.59261367280608	0.0014261189943880481	-1.0
271	-124.59132728055866	0.001286392247422441	-1.0
272	-124.59004217470348	0.0012851058551746064	-1.0
273	-124.58875835395416	0.0012838207493217624	-1.0
274	-124.58733751639762	0.0014208375565374354	-1.0
275	-124.58605640030662	0.0012811160910075614	-1.0
276	-124.5847765653317	0.001279834974923233	-1.0
277	-124.58335970956378	0.0014168557679141713	-1.0
278	-124.5820825712796	0.0012771382841805234	-1.0
279	-124.58080527214304	0.0012772991365608277	-1.0
280	-124.57939206207249	0.0014132100705523953	-1.0
281	-124.57811745344513	0.0012746086273551782	-1.0
282	-124.5768441194264	0.0012733340187338626	-1.0
283	-124.57543487050856	0.001409248917838113	-1.0
284	-124.57416421907277	0.00127065143578875	-1.0
285	-124.5727576500553	0.0014065690174760448	-1.0
286	-124.57148967583996	0.0012679742153380857	-1.0
287	-124.5700857813657	0.001403894474250933	-1.0
288	-124.56882047901905	0.0012653023466526747	-1.0
289	-124.56755644197474	0.0012640370443079973	-1.0
290	-124.56615648073436	0.001399961240380776	-1.0
291	-124.56489510768834	0.0012613730460202532	-1.0
292	-124.56363499601537	0.0012601116729769046	-1.0
293	-124.56223895622095	0.0013960397944146052	-1.0
294	-124.56098150069944	0.0012574555215110195	-1.0
295	-124.55972530263345	0.001256198065988201	-1.0
296	-124.55833317253241	0.0013921301010384468	-1.0
297	-124.5570796227946	0.0012535497378109994	-1.0
298	-124.55568997421604	0.0013896485785664936	-1.0
299	-124.55443321088737	0.001256763328669308	-1.0
300	-124.55304612364561	0.001387087241752738	-1.0
301	-124.5516604234911	0.0013857001545147796	-1.0
302	-124.55040768971315	0.0012527337779459913	-1.0
303	-124.54915620866899	0.001251481044164393	-1.0
304	-124.54777439842945	0.0013818102395362075	-1.0
305	-124.54652555067656	0.0012488477528904696	-1.0
306	-124.54527795177142	0.0012475989051381475	-1.0
307	-124.5440316004652	0.001246351306221527	-1.0
308	-124.54265491483388	0.0013766856313282005	-1.0
309	-124.54141118656459	0.0012437282692872031	-1.0
310	-124.54016870202356	0.001242484541023714	-1.0
311	-124.53879587929067	0.0013728227328897447	-1.0
312	-124.53755601005693	0.001239869233742752	-1.0
313	-124.53631358361555	0.0012424264413795072	-1.0
314	-124.53507157414813	0.0012420094674183701	-1.0
315	-124.53382998212713	0.0012415920210031572	-1.0
316	-124.5324627947818	0.0013671873453375838	-1.0
317	-124.53122381154016	0.001238983241634628	-1.0
318	-124.52998606728175	0.00123774425840395	-1.0
319	-124.52874956076761	0.0012365065141466403	-1.0
320	-124.52738745384363	0.0013621069239775352	-1.0
321	-124.52615354594293	0.0012339079006977727	-1.0
322	-124.52479403503378	0.0013595109091539825	-1.0
323	-124.52355966080324	0.0012343742305347405	-1.0
324	-124.52220203789473	0.0013576229085145997	-1.0
325	-124.52097025566134	0.001231782233389822	-1.0
326	-124.51973970521018	0.0012305504511544996	-1.0
327	-124.51851038530948	0.001229319900701853	-1.0
328	-124.51715781167646	0.001352573633027987	-1.0
329	-124.51593107366928	0.001226738007176209	-1.0
330	-124.51458107934789	0.0013499943213872712	-1.0
331	-124.51323243502083	0.001348644327066495	-1.0
332	-124.51200411909343	0.0012283159273920319	-1.0
333	-124.51077703148196	0.0012270876114683915	-1.0
334	-124.50943175063036	0.0013452808516092318	-1.0
335	-124.50820688431206	0.0012248663182958808	-1.0
336	-124.50686374209393	0.001343142218132698	-1.0
337	-124.50564144378417	0.0012222983097558426	-1.0
338	-124.50442036777272	0.0012210760114470531	-1.0
339	-124.50308101207114	0.001339355701588829	-1.0
340	-124.5018624964914	0.0012185155797368452	-1.0
341	-124.50052569866108	0.0013367978303193695	-1.0
342	-124.49930973839476	0.0012159602663217584	-1.0
343	-124.49797549332254	0.0013342450722149124	-1.0
344	-124.49676208326156	0.001213410060984188	-1.0
345	-124.49543038584447	0.001331697417086275	-1.0
346	-124.49421952089097	0.0012108649535065297	-1.0
347	-124.49300986680241	0.0012096540885551121	-1.0
348	-124.49168192160178	0.0013279452006287329	-1.0
349	-124.4903553350596	0.0013265865421772105	-1.0
350	-124.48914686648621	0.0012084685733952938	-1.0
351	-124.48782264153789	0.001324224948319852	-1.0
352	-124.48661670565802	0.0012059358798666153	-1.0
353	-124.48541197571403	0.0012047299439927883	-1.0
354	-124.48420845049998	0.0012035252140520925	-1.0
355	-124.48288916396764	0.0013192865323361502	-1.0
356	-124.48168816156534	0.0012010024022970356	-1.0
357	-124.48037139532194	0.0013167662434057092	-1.0
358	-124.47917291068828	0.0011984846336616783	-1.0
359	-124.47785865969576	0.0013142509925216928	-1.0
360	-124.47666268779773	0.0011959718980278922	-1.0
361	-124.47535094702809	0.0013117407696370265	-1.0
362	-124.47415748284273	0.0011934641853628136	-1.0
363	-124.47284824727805	0.0013092355646762144	-1.0
364	-124.47165728579243	0.0011909614856193684	-1.0
365	-124.4703505504248	0.0013067353676348148	-1.0
366	-124.46916208663603	0.0011884637887646932	-1.0
367	-124.46785784646755	0.0013042401684799643	-1.0
368	-124.46666184410732	0.0011960023602313186	-1.0
369	-124.46535972279544	0.0013021213118804553	-1.0
370	-124.46416621855889	0.001193504236553622	-1.0
371	-124.46286659287256	0.001299625686328909	-1.0
372	-124.46156826681191	0.0012983260606489466	-1.0
373	-124.46027123907733	0.0012970277345800696	-1.0
374	-124.45897551520312	0.0012957238742075106	-1.0
375	-124.45778839517416	0.0011871200289590433	-1.0
376	-124.45649515414385	0.00129324103031081	-1.0
377	-124.45531051447595	0.0011846396678976134	-1.0
378	-124.45401975132634	0.001290763149611962	-1.0
379	-124.45273027893988	0.0012894723864604885	-1.0
380	-124.45144209602581	0.0012881829140667378	-1.0
381	-124.45026250941604	0.0011795866097799035	-1.0
382	-124.44897679427149	0.0012857151445473392	-1.0
383	-124.44779819309359	0.001178601177898031	-1.0
384	-124.44651495414226	0.0012832389513306452	-1.0
385	-124.44533881480449	0.0011761393377724971	-1.0
386	-124.44405803523145	0.0012807795730367388	-1.0
387	-124.44288435281258	0.0011736824188659511	-1.0
388	-124.44160602770154	0.0012783251110448646	-1.0
389	-124.44043479729021	0.0011712304113302707	-1.0
390	-124.43915915503909	0.0012756422511159826	-1.0
391	-124.43799037150042	0.0011687835386737788	-1.0
392	-124.43682218727297	0.0011681842274526844	-1.0
393	-124.43565517122974	0.001167016043225999	-1.0
394	-124.43448841721047	0.0011667540192661363	-1.0
395	-124.43321894838981	0.001269468820666475	-1.0
396	-124.43195074903797	0.0012681993518413037	-1.0
397	-124.43078769944088	0.001163049597082022	-1.0
398	-124.42952193133799	0.0012657681028969137	-1.0
399	-124.4282574290032	0.001264502334791473	-1.0
400	-124.42709580416646	0.001161624836740316	-1.0
401	-124.42583346800413	0.0012623361623269602	-1.0
402	-124.42467426712838	0.0011592008757475014	-1.0
403	-124.42341435250309	0.0012599146252938453	-1.0
404	-124.42225757074284	0.00115678176024403	-1.0
405	-124.42100007281394	0.0012574979289041721	-1.0
406	-124.41984570533339	0.0011543674805523096	-1.0
407	-124.41859061926989	0.0012550860634945593	-1.0
408	-124.41743866124288	0.001151958027008959	-1.0
409	-124.41618598222348	0.0012526790194016257	-1.0
410	-124.41503642883352	0.001149553389964808	-1.0
411	-124.41378614221632	0.0012502866171928417	-1.0
412	-124.41253710588575	0.001249036330577269	-1.0
413	-124.41139120137213	0.0011459045136206214	-1.0
414	-124.41024249375279	0.0011487076193361645	-1.0
415	-124.40899756972486	0.0012449240279295282	-1.0
416	-124.40785059842572	0.0011469712991356573	-1.0
417	-124.40660823276154	0.0012423656641828984	-1.0
418	-124.40536710946301	0.0012411232985272136	-1.0
419	-124.40422376862415	0.0011433408388654698	-1.0
420	-124.4030810105423	0.0011427580818548222	-1.0
421	-124.40184338966252	0.0012376208797775234	-1.0
422	-124.40060700640362	0.0012363832588988544	-1.0
423	-124.39946786508398	0.0011391413196406575	-1.0
424	-124.39823385734967	0.0012340077343111489	-1.0
425	-124.39709708917908	0.0011367681705820587	-1.0
426	-124.39596145777666	0.00113563140241979	-1.0
427	-124.39473095644965	0.0012305013270150766	-1.0
428	-124.39359769117996	0.0011332652696864898	-1.0
429	-124.39236952705068	0.0012281641292872791	-1.0
430	-124.3911424405647	0.001227086485968698	-1.0
431	-124.39000996860263	0.001132471962080217	-1.0
432	-124.38887862911251	0.0011313394901151241	-1.0
433	-124.38765503352448	0.0012235955880299798	-1.0
