Weight	Action	Count	Q Value
0.0	1	960	-124.68431194116626
1.0	1	2962	-124.29419165928829
2.0	1	2817	-124.34732961418025
3.0	1	2339	-124.43125679622388
4.0	1	2242	-124.45185953948251
5.0	1	2182	-124.4612266632843
6.0	1	2155	-124.4630391448557
7.0	1	2219	-124.45310168131404
8.0	1	2188	-124.45497235090045
9.0	1	2234	-124.44853636655195
10.0	1	2219	-124.44529595400029
11.0	1	2275	-124.43737240799233
12.0	1	2278	-124.43577030170849
13.0	1	2299	-124.43375627570353
14.0	1	2288	-124.43654250820506
15.0	1	2262	-124.4390794030395
16.0	1	2287	-124.43938728490846
17.0	1	2245	-124.4436201924441
18.0	1	2261	-124.44203850837356
19.0	1	2269	-124.44277863562759
20.0	1	2218	-124.45076928163984
21.0	1	2230	-124.44806540699034
22.0	1	2239	-124.44853754676316
23.0	1	2237	-124.4474876986534
24.0	1	2238	-124.44912977371007
25.0	1	2204	-124.45560535395155
26.0	1	2203	-124.45390994202741
27.0	1	2228	-124.45045700815379
28.0	1	2196	-124.45622010558026
29.0	1	2226	-124.45448128965332
30.0	1	2192	-124.45712286393288
31.0	1	2177	-124.46125680064725
32.0	1	2208	-124.4558040777959
33.0	1	2185	-124.46120611103137
34.0	1	2170	-124.46126585106683
35.0	1	2194	-124.46070664149235
36.0	1	2178	-124.46102473455727
37.0	1	2161	-124.46365801020458
38.0	1	2208	-124.45695807026505
39.0	-1	1	-124.99975
39.0	1	2171	-124.46637668936536
40.0	-1	2	-124.9995000025
40.0	1	2149	-124.46707871350382
41.0	-1	2	-124.99949975451146
41.0	1	2167	-124.46616376522542
42.0	-1	5	-124.99874828890839
42.0	1	2152	-124.46673734575788
43.0	-1	14	-124.99648455975301
43.0	1	2157	-124.47031326749543
44.0	-1	36	-124.99093243817907
44.0	1	2143	-124.47688120998713
45.0	-1	62	-124.98431340575004
45.0	1	2130	-124.48559379570446
46.0	-1	103	-124.97325350575176
46.0	1	2055	-124.50853603571828
47.0	-1	175	-124.95375371454769
47.0	1	2003	-124.52107849218271
48.0	-1	298	-124.9218926717823
48.0	1	1953	-124.54317802095062
49.0	-1	429	-124.88673885717706
49.0	1	1806	-124.5798875415193
50.0	-1	589	-124.84356216953022
50.0	1	1599	-124.62490431373239
51.0	-1	777	-124.79405244850186
51.0	1	1472	-124.65495020916495
52.0	-1	982	-124.74357121540663
52.0	1	1283	-124.69904093782412
53.0	-1	1154	-124.70477105948986
53.0	1	1021	-124.74806451391042
54.0	-1	1308	-124.67405597546534
54.0	1	951	-124.7673327515896
55.0	-1	1284	-124.66415684633564
55.0	1	833	-124.79490841374037
56.0	-1	1529	-124.61446411017864
56.0	1	705	-124.82208721592306
57.0	-1	1603	-124.5981484422437
57.0	1	609	-124.84581755825114
58.0	-1	1643	-124.57542599347902
58.0	1	498	-124.87292447629537
59.0	-1	1791	-124.51740848591598
59.0	1	434	-124.88906225997252
60.0	-1	1840	-124.44108779153433
60.0	1	369	-124.90270415697073
61.0	-1	1997	-124.35519434396545
61.0	1	319	-124.9139555022897
62.0	-1	2120	-124.32578189640641
62.0	1	262	-124.93043333090347
63.0	-1	2586	-124.08513573118961
63.0	1	218	-124.94025494571987
64.0	-1	3215	-123.74493170983469
64.0	1	182	-124.9455983129719
65.0	-1	4307	-123.25094568981959
65.0	1	132	-124.95968564734711
66.0	-1	5869	-122.70846117229526
66.0	1	105	-124.96999221768132
67.0	-1	8129	-121.45872532328774
67.0	1	88	-124.97058366046372
68.0	-1	9880	-121.0272456029195
68.0	1	75	-124.97373252779926
69.0	-1	11916	-119.53781248405035
69.0	1	71	-124.96576033097593
70.0	-1	13107	-117.82837092843069
70.0	1	46	-124.9684596050507
71.0	-1	14917	-115.7672227307834
71.0	1	23	-124.98572780650638
72.0	-1	15054	-113.30552607005404
72.0	1	14	-124.98709441706367
73.0	-1	13903	-109.18666876820497
73.0	1	6	-124.99439167278628
74.0	-1	5938	-101.19941306862746
74.0	1	4	-124.99351320962363
75.0	-1	452	-81.25630845812573
75.0	1	1	-124.98391547139309
76.0	-1	45	-119.54101876488627
