Iteration	Q Value	Difference	G Value
1	-124.99975	0.0002499999999940883	-1.0
2	-124.99950025000001	0.0002497499999947195	-1.0
3	-124.99925050225	0.00024974775000430327	-1.0
4	-124.99900050974499	0.00024999250501878123	-1.0
5	-124.99875076674292	0.0002497430020724778	-1.0
6	-124.99850077923524	0.00024998750767224465	-1.0
7	-124.99825104098149	0.00024973825375695924	-1.0
8	-124.99800105847108	0.0002499825104109732	-1.0
9	-124.9977513252108	0.00024973326027577514	-1.0
10	-124.99750134769755	0.0002499775132491777	-1.0
11	-124.99725161943041	0.00024972826713565155	-1.0
12	-124.99700164691421	0.0002499725162010691	-1.0
13	-124.99675217087038	0.0002494760438338517	-1.0
14	-124.99650220334867	0.0002499675217109143	-1.0
15	-124.99625273180109	0.0002494715475762632	-1.0
16	-124.99600301478813	0.0002497170129629467	-1.0
17	-124.99575305475798	0.0002499600301462124	-1.0
18	-124.99550309528034	0.0002499594776423919	-1.0
19	-124.99525314024939	0.0002499550309522647	-1.0
20	-124.99500293881223	0.0002502014371543737	-1.0
21	-124.99475298878285	0.00024995002938510424	-1.0
22	-124.99450030724145	0.0002526815413972372	-1.0
23	-124.99425036423159	0.0002499430098623634	-1.0
24	-124.99400042172795	0.00024994250364329673	-1.0
25	-124.99375048420555	0.00024993752239765854	-1.0
26	-124.9935005467007	0.00024993750484725297	-1.0
27	-124.99325061441458	0.00024993228612402163	-1.0
28	-124.99300068190843	0.0002499325061506852	-1.0
29	-124.99275075486041	0.00024992704801718446	-1.0
30	-124.99250082735286	0.0002499275075535934	-1.0
31	-124.99225090554476	0.0002499218080913579	-1.0
32	-124.99200097992065	0.0002499256241179637	-1.0
33	-124.99175105991085	0.0002499200097929588	-1.0
34	-124.9915011397861	0.00024992012475877345	-1.0
35	-124.9912512247747	0.000249915011394819	-1.0
36	-124.99100131014426	0.0002499146304444366	-1.0
37	-124.99075115109333	0.00025015905092118373	-1.0
38	-124.99050124358182	0.00024990751151676704	-1.0
39	-124.99025133856938	0.0002499050124384894	-1.0
40	-124.99000094084626	0.0002503977231214094	-1.0
41	-124.98974903802718	0.0002519028190732797	-1.0
42	-124.98949914053681	0.00024989749037729325	-1.0
43	-124.98924900118801	0.0002501393487932546	-1.0
44	-124.988999108698	0.00024989249001805547	-1.0
45	-124.98874921870691	0.00024988999108188636	-1.0
46	-124.98849933121473	0.0002498874921883498	-1.0
47	-124.98824943881361	0.00024989240111494837	-1.0
48	-124.98799955631922	0.0002498824943870659	-1.0
49	-124.98774967063564	0.0002498856835870811	-1.0
50	-124.98749904728857	0.00025062334707115497	-1.0
51	-124.98724917229809	0.0002498749904731312	-1.0
52	-124.98699829739988	0.00025087489821373765	-1.0
53	-124.98673400318441	0.0002642942154693628	-1.0
54	-124.98648413584438	0.0002498673400310736	-1.0
55	-124.98623376868674	0.00025036715763349093	-1.0
56	-124.98598390634906	0.00024986233768231614	-1.0
57	-124.98573404651	0.00024985983905878584	-1.0
58	-124.9854836905734	0.00025035593660049926	-1.0
59	-124.9852338357365	0.00024985483690898036	-1.0
60	-124.98498398339814	0.00024985233835650433	-1.0
61	-124.98473363868055	0.00025034471758544896	-1.0
62	-124.98448379134416	0.00024984733639143997	-1.0
63	-124.98423394650625	0.0002498448379100182	-1.0
64	-124.98398386034714	0.0002500861591130388	-1.0
65	-124.98373402050854	0.0002498398386023837	-1.0
66	-124.98348418316833	0.00024983734020622705	-1.0
67	-124.98322290586589	0.00026127730244240865	-1.0
68	-124.98297307363683	0.0002498322290591659	-1.0
69	-124.98271205674278	0.0002610168940435642	-1.0
70	-124.98246222962221	0.0002498271205695346	-1.0
71	-124.98221342346855	0.00024880615366384973	-1.0
72	-124.98196360133431	0.0002498221342364104	-1.0
73	-124.98171430793835	0.00024929339596724276	-1.0
74	-124.98146452557053	0.00024978236781691976	-1.0
75	-124.98121471092527	0.00024981464525808406	-1.0
76	-124.98096444309067	0.0002502678346019138	-1.0
77	-124.98071463344624	0.00024980964442988807	-1.0
78	-124.98046482629991	0.0002498071463321594	-1.0
79	-124.98021457087319	0.0002502554267209689	-1.0
80	-124.97996476872748	0.00024980214570291537	-1.0
81	-124.9797145229565	0.0002502457709852024	-1.0
82	-124.97946378974798	0.0002507332085173175	-1.0
83	-124.97921281665249	0.00025097309548982594	-1.0
84	-124.9789473282783	0.0002654883741968206	-1.0
85	-124.97869753880501	0.0002497894732869099	-1.0
86	-124.97844775182962	0.0002497869753881332	-1.0
87	-124.97819753339904	0.0002502184305797073	-1.0
88	-124.97794775142371	0.0002497819753273234	-1.0
89	-124.9776979719462	0.0002497794775138118	-1.0
90	-124.97744776565276	0.0002502062934439664	-1.0
91	-124.9771979911751	0.00024977447765195393	-1.0
92	-124.9769482191952	0.0002497719799094966	-1.0
93	-124.97669802528038	0.00025019391480896047	-1.0
94	-124.97644825830014	0.0002497669802465907	-1.0
95	-124.97619807401344	0.00025018428669909554	-1.0
96	-124.9759483120327	0.0002497619807400042	-1.0
97	-124.97569813712639	0.00025017490631285	-1.0
98	-124.97544838014501	0.00024975698137552627	-1.0
99	-124.97519796736387	0.0002504127811420176	-1.0
100	-124.97494821538419	0.00024975197968046814	-1.0
101	-124.9746975649856	0.0002506503985841846	-1.0
102	-124.97444781800995	0.00024974697565482984	-1.0
103	-124.97419807353177	0.00024974447818237877	-1.0
104	-124.97394790393136	0.000250169600406025	-1.0
105	-124.97369816445232	0.0002497394790452745	-1.0
106	-124.97344842747067	0.0002497369816438777	-1.0
107	-124.9731986929864	0.0002497344842709026	-1.0
108	-124.97294878550031	0.00024990748609354796	-1.0
109	-124.97269905601246	0.0002497294878480716	-1.0
110	-124.9724493290219	0.00024972699056036163	-1.0
111	-124.97219968113058	0.0002496478913229794	-1.0
112	-124.97194995913377	0.0002497219968091713	-1.0
113	-124.97170023963417	0.0002497194995925156	-1.0
114	-124.97145060385142	0.00024963578275105647	-1.0
115	-124.97118192787515	0.00026867597627244777	-1.0
116	-124.97093229218991	0.0002496356852361714	-1.0
117	-124.970682582867	0.00024970932291523695	-1.0
118	-124.97043287604117	0.00024970682582647896	-1.0
119	-124.9701832532238	0.00024962281737828107	-1.0
120	-124.96993355139126	0.00024970183253003597	-1.0
121	-124.96968385205575	0.00024969933551233225	-1.0
122	-124.96943415521723	0.00024969683852305025	-1.0
123	-124.969185041918	0.0002491132992332723	-1.0
124	-124.96893535006758	0.00024969185041356923	-1.0
125	-124.96868649333771	0.00024885672986840746	-1.0
126	-124.96843680647278	0.00024968686493309633	-1.0
127	-124.96818771166026	0.0002490948125171144	-1.0
128	-124.96793802978314	0.00024968187712204326	-1.0
129	-124.96768894433275	0.0002490854503918172	-1.0
130	-124.9674393711362	0.000249573196555275	-1.0
131	-124.96718969674248	0.00024967439371437194	-1.0
132	-124.96692029106009	0.0002694056823884239	-1.0
133	-124.96667062185718	0.0002496692029154701	-1.0
134	-124.96642133042033	0.00024929143684460087	-1.0
135	-124.96617166620703	0.0002496642132996385	-1.0
136	-124.96592189047769	0.00024977572934403725	-1.0
137	-124.96567223125878	0.0002496592189089597	-1.0
138	-124.96542197224655	0.0002502590122333004	-1.0
139	-124.96517231802682	0.00024965421972922286	-1.0
140	-124.96492266630364	0.00024965172318047735	-1.0
141	-124.96467242181457	0.0002502444890666311	-1.0
142	-124.96442277509036	0.0002496467242139033	-1.0
143	-124.9641731308626	0.00024964422775042294	-1.0
144	-124.96392290113329	0.00025022972931765253	-1.0
145	-124.96367326190428	0.0002496392290112226	-1.0
146	-124.96342304442365	0.0002502174806267021	-1.0
147	-124.9631734101932	0.0002496342304425525	-1.0
148	-124.9629237784591	0.0002496317341069698	-1.0
149	-124.96267382285005	0.0002499556090498345	-1.0
150	-124.96242419611183	0.00024962673822415127	-1.0
151	-124.96217425199221	0.0002499441196164298	-1.0
152	-124.96192463024968	0.00024962174252607383	-1.0
153	-124.96167445049223	0.00025017975745811327	-1.0
154	-124.96142483374771	0.0002496167445116271	-1.0
155	-124.96117441884913	0.00025041489858779187	-1.0
156	-124.96092480710493	0.00024961174419502186	-1.0
157	-124.9606741573167	0.00025064978822797457	-1.0
158	-124.96042455057513	0.0002496067415762582	-1.0
159	-124.96017341929802	0.00025113127711051675	-1.0
160	-124.95992381756382	0.00024960173419685816	-1.0
161	-124.95967421832565	0.0002495992381739143	-1.0
162	-124.95942334984775	0.00025086847789168587	-1.0
163	-124.95917375561426	0.00024959423349457666	-1.0
164	-124.95892265274776	0.0002511028664997639	-1.0
165	-124.95867306352123	0.00024958922652729143	-1.0
166	-124.9584234767906	0.00024958673063224524	-1.0
167	-124.95817238961833	0.00025108717227340094	-1.0
168	-124.95792280789443	0.0002495817238923337	-1.0
169	-124.95767322866635	0.0002495792280825526	-1.0
170	-124.95740733957459	0.000265889091764393	-1.0
171	-124.9571577655012	0.00024957407339343263	-1.0
172	-124.95690819392354	0.00024957157765470583	-1.0
173	-124.95664281483977	0.0002653790837712222	-1.0
174	-124.95639324841162	0.0002495664281525478	-1.0
175	-124.95614368447913	0.0002495639324848753	-1.0
176	-124.95589386628728	0.0002498181918468845	-1.0
177	-124.95564430734862	0.0002495589386626307	-1.0
178	-124.95539425497233	0.0002500523762876128	-1.0
179	-124.95514470102978	0.00024955394255243846	-1.0
180	-124.95489514958277	0.00024955144701266363	-1.0
181	-124.95464486602003	0.0002502835627353761	-1.0
182	-124.95439531957138	0.00024954644865715636	-1.0
183	-124.95414577561817	0.00024954395320264666	-1.0
184	-124.95389550840653	0.00025026721164067567	-1.0
185	-124.95364596945144	0.0002495389550887239	-1.0
186	-124.95339643299175	0.00024953645969105764	-1.0
187	-124.95314642915382	0.0002500038379338321	-1.0
188	-124.95289689768953	0.00024953146429140816	-1.0
189	-124.95264736872055	0.000249528968979007	-1.0
190	-124.95239738117056	0.00024998754999217	-1.0
191	-124.95214785719675	0.0002495239738067312	-1.0
192	-124.95189833571818	0.0002495214785653843	-1.0
193	-124.95164836468956	0.00024997102862300835	-1.0
194	-124.95139815790992	0.00025020677963993876	-1.0
195	-124.95114864392835	0.0002495139815721359	-1.0
196	-124.9508991324419	0.00024951148644447585	-1.0
197	-124.95064962345057	0.00024950899133102666	-1.0
198	-124.95039943638514	0.00025018706543278313	-1.0
199	-124.95014993239077	0.00024950399436818316	-1.0
200	-124.94990043089145	0.00024950149932578825	-1.0
201	-124.94965050823836	0.0002499226530829901	-1.0
202	-124.94940101173329	0.000249496505077218	-1.0
203	-124.94915151772317	0.0002494940101200882	-1.0
204	-124.9489018587215	0.00024965900166762367	-1.0
205	-124.94865236970291	0.0002494890185857912	-1.0
206	-124.94840288317921	0.0002494865236997157	-1.0
207	-124.94815324032436	0.00024964285485395976	-1.0
208	-124.94790375879195	0.0002494815324070032	-1.0
209	-124.94765427975436	0.000249479037591982	-1.0
210	-124.9474046527922	0.00024962696215879987	-1.0
211	-124.94715517874567	0.0002494740465266432	-1.0
212	-124.94690556517105	0.00024961357462416345	-1.0
213	-124.9466560961154	0.0002494690556460455	-1.0
214	-124.94640624919337	0.0002498469220313382	-1.0
215	-124.94615678513088	0.00024946406249171105	-1.0
216	-124.94590670535547	0.0002500797754123596	-1.0
217	-124.94565724628842	0.000249459067049429	-1.0
218	-124.94540668744378	0.00025055884464109113	-1.0
219	-124.94515540132049	0.0002512861232872865	-1.0
220	-124.94490594976648	0.0002494515540121256	-1.0
221	-124.94465650070698	0.0002494490594955323	-1.0
222	-124.94440705414198	0.00024944656500736073	-1.0
223	-124.94415579033925	0.000251263802724111	-1.0
224	-124.94390634878135	0.00024944155789796696	-1.0
225	-124.94364947909493	0.0002568696864244657	-1.0
226	-124.94338561508036	0.0002638640145704585	-1.0
227	-124.9431361812242	0.0002494338561547238	-1.0
228	-124.9428867498624	0.00024943136180866077	-1.0
229	-124.94263732099489	0.0002494288675052303	-1.0
230	-124.94238734349838	0.00024997749650879086	-1.0
231	-124.94213791962494	0.00024942387344140116	-1.0
232	-124.94188849824575	0.0002494213791948141	-1.0
233	-124.94163907936077	0.00024941888497664877	-1.0
234	-124.94138966296998	0.00024941639078690514	-1.0
235	-124.94114066388217	0.00024899908781605973	-1.0
236	-124.94089125247552	0.0002494114066422526	-1.0
237	-124.940641843563	0.00024940891252356323	-1.0
238	-124.94039243714457	0.0002494064184332956	-1.0
239	-124.94014395188914	0.0002484852554260897	-1.0
240	-124.93989455044962	0.00024940143951823757	-1.0
241	-124.93964607920466	0.0002484712449586368	-1.0
242	-124.93938496719005	0.00026111201461276323	-1.0
243	-124.93912361341343	0.0002613537766222862	-1.0
244	-124.93886201789627	0.0002615955171592077	-1.0
245	-124.93859267970214	0.0002693381941298867	-1.0
246	-124.93834329377535	0.00024938592679291105	-1.0
247	-124.9380939103424	0.00024938343294422793	-1.0
248	-124.93784452940329	0.00024938093910975567	-1.0
249	-124.93759737740083	0.0002471520024585061	-1.0
250	-124.93734800142705	0.00024937597378027476	-1.0
251	-124.93709862794704	0.0002493734800168568	-1.0
252	-124.93685173774445	0.00024689020258961136	-1.0
253	-124.93660236922707	0.0002493685173732274	-1.0
254	-124.93635524404803	0.0002471251790439055	-1.0
255	-124.93610588049559	0.0002493635524416504	-1.0
256	-124.93585651943678	0.00024936105880613013	-1.0
257	-124.93560940913746	0.00024711029932689144	-1.0
258	-124.93536005304337	0.000249356094087716	-1.0
259	-124.93509371431193	0.0002663387314356669	-1.0
260	-124.93482637830496	0.0002673360069707087	-1.0
261	-124.93457703004118	0.0002493482637788702	-1.0
262	-124.93432768427088	0.0002493457702996693	-1.0
263	-124.93408137185672	0.0002463124141627304	-1.0
264	-124.933832031043	0.0002493408137240749	-1.0
265	-124.93358269272268	0.0002493383203159283	-1.0
266	-124.93333639461483	0.0002462981078537041	-1.0
267	-124.93308706125089	0.00024933336393928585	-1.0
