Weight	Action	Difference	Q Value	Reward
0.0	1	0.0024999999999977263	-124.9975	-1.0
1.0	1	0.0024999999999977263	-124.9975	-1.0
1.0	1	0.0024997499999983575	-124.99500025	-1.0
1.0	1	0.002499500024995882	-124.99250074997501	-1.0
1.0	1	0.002499250075004511	-124.9900014999	-1.0
1.0	1	0.002400014998997335	-124.987601484901	-1.0
2.0	1	0.0024999999999977263	-124.9975	-1.0
2.0	1	0.0024997499999983575	-124.99500025	-1.0
2.0	1	0.0024500024999980496	-124.9925502475	-1.0
3.0	1	0.0024999999999977263	-124.9975	-1.0
3.0	1	0.0024750000000040018	-124.995025	-1.0
4.0	1	0.0024999999999977263	-124.9975	-1.0
4.0	1	0.0024750000000040018	-124.995025	-1.0
5.0	1	0.0024999999999977263	-124.9975	-1.0
5.0	1	0.0024750000000040018	-124.995025	-1.0
6.0	1	0.0024999999999977263	-124.9975	-1.0
6.0	1	0.0024750000000040018	-124.995025	-1.0
7.0	1	0.0024999999999977263	-124.9975	-1.0
8.0	1	0.0024999999999977263	-124.9975	-1.0
8.0	1	0.0024750000000040018	-124.995025	-1.0
9.0	1	0.0024999999999977263	-124.9975	-1.0
9.0	1	0.0024750000000040018	-124.995025	-1.0
10.0	1	0.0024999999999977263	-124.9975	-1.0
11.0	1	0.0024999999999977263	-124.9975	-1.0
11.0	1	0.0024750000000040018	-124.995025	-1.0
12.0	1	0.0024999999999977263	-124.9975	-1.0
12.0	1	0.0024750000000040018	-124.995025	-1.0
13.0	1	0.0024999999999977263	-124.9975	-1.0
14.0	1	0.0024999999999977263	-124.9975	-1.0
14.0	1	0.0024750000000040018	-124.995025	-1.0
15.0	1	0.0024999999999977263	-124.9975	-1.0
15.0	1	0.0024750000000040018	-124.995025	-1.0
16.0	1	0.0024999999999977263	-124.9975	-1.0
17.0	1	0.0024999999999977263	-124.9975	-1.0
17.0	1	0.0024750000000040018	-124.995025	-1.0
18.0	1	0.0024999999999977263	-124.9975	-1.0
18.0	1	0.0024750000000040018	-124.995025	-1.0
19.0	1	0.0024999999999977263	-124.9975	-1.0
19.0	1	0.0024750000000040018	-124.995025	-1.0
20.0	1	0.0024999999999977263	-124.9975	-1.0
20.0	1	0.0024750000000040018	-124.995025	-1.0
21.0	1	0.0024999999999977263	-124.9975	-1.0
22.0	1	0.0024999999999977263	-124.9975	-1.0
22.0	1	0.0024750000000040018	-124.995025	-1.0
23.0	1	0.0024999999999977263	-124.9975	-1.0
23.0	1	0.0024750000000040018	-124.995025	-1.0
24.0	1	0.0024999999999977263	-124.9975	-1.0
24.0	1	0.0024750000000040018	-124.995025	-1.0
25.0	1	0.0024999999999977263	-124.9975	-1.0
25.0	1	0.0024750000000040018	-124.995025	-1.0
